identifier,lookup_type,class,location_type,location,sha1,stimulus_set_identifier,lookup_source
dicarlo.SanghaviJozwik2020,assembly,NeuronRecordingAssembly,S3,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_SanghaviJozwik2020.nc,c5841f1e7d2cf0544a6ee010e56e4e2eb0994ee0,dicarlo.BOLD5000,brainio_brainscore
dicarlo.Sanghavi2020,assembly,NeuronRecordingAssembly,S3,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_Sanghavi2020.nc,12e94e9dcda797c851021dfe818b64615c785866,dicarlo.hvm,brainio_brainscore
dicarlo.THINGS1,stimulus_set,StimulusSet,S3,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_THINGS1.csv,e02469d805e1b9c1a18403e9b0b8a37ee6da5130,,brainio_brainscore
dicarlo.THINGS1,stimulus_set,,S3,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_THINGS1.zip,fb716eb58c303157dd577a70caad5c8079e74e9b,,brainio_brainscore
dicarlo.SanghaviMurty2020THINGS1,assembly,NeuronRecordingAssembly,S3,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_SanghaviMurty2020THINGS1.nc,718def227d38c8425f449512e47a2df81c04de62,dicarlo.THINGS1,brainio_brainscore
dicarlo.THINGS2,stimulus_set,StimulusSet,S3,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_THINGS2.csv,86c8beda8f495cd69ed047d3457902dd98e4904c,,brainio_brainscore
dicarlo.THINGS2,stimulus_set,,S3,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_THINGS2.zip,e7918dd10102b67464bc652fdb3ced25ee1fbe7a,,brainio_brainscore
dicarlo.SanghaviMurty2020THINGS2,assembly,NeuronRecordingAssembly,S3,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_SanghaviMurty2020THINGS2.nc,80962139823cb145e2385c344e3945e99ed97fa2,dicarlo.THINGS2,brainio_brainscore
dietterich.Hendrycks2019.noise,stimulus_set,StimulusSet,S3,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_noise.csv,56f445e058b4d825e7731711c824918812ed2d2d,,brainio_brainscore
dietterich.Hendrycks2019.noise,stimulus_set,,S3,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_noise.zip,e3c46b81bfd8a522cadcd8a4bb0c67bb5ccb4c6a,,brainio_brainscore
dietterich.Hendrycks2019.blur,stimulus_set,StimulusSet,S3,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_blur.csv,e7a537bb2f3f94b9cd3819a529de9f4349e58bd2,,brainio_brainscore
dietterich.Hendrycks2019.blur,stimulus_set,,S3,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_blur.zip,85bac6d7c9b9646b22480f65cf6f1486fcf4b488,,brainio_brainscore
dietterich.Hendrycks2019.weather,stimulus_set,StimulusSet,S3,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_weather.csv,02fa92430be754163ecd06ee9211c1edd8984207,,brainio_brainscore
dietterich.Hendrycks2019.weather,stimulus_set,,S3,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_weather.zip,18ef85343b10a4a326b5fc0758b9ae1da58f7d90,,brainio_brainscore
dietterich.Hendrycks2019.digital,stimulus_set,StimulusSet,S3,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_digital.csv,1e9611b560333989d4673bfd019160a27842f89b,,brainio_brainscore
dietterich.Hendrycks2019.digital,stimulus_set,,S3,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_digital.zip,a10e8d7eabce191d1f8e92983c08b4f0fe0f435d,,brainio_brainscore
dicarlo.Rajalingham2020,stimulus_set,StimulusSet,S3,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_Rajalingham2020.csv,9a9a6b3115d2d8ce5d54ec2522093d8a87ed13a0,,brainio_brainscore
dicarlo.Rajalingham2020,stimulus_set,,S3,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_Rajalingham2020.zip,6097086901032e20f8ae764e9cc06e0a891a3e18,,brainio_brainscore
dicarlo.Rajalingham2020,assembly,NeuronRecordingAssembly,S3,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_Rajalingham2020.nc,ab95ae6c9907438f87b9b13b238244049f588680,dicarlo.Rajalingham2020,brainio_brainscore
